citation,year,journal,peer_reviewed,geography,data,method,scale,key_finding,limitations,transferability_to_madrid,relevance_1to5,cluster
"Adaptive urban economies: evidence of intra-day temporal behavioural adaptation to extreme heat in Australian cities",2025,npj Urban Sustainability,Yes,"Melbourne, Sydney, Adelaide (Australia)","Bank card transactions (Westpac ~21% share) + airport max-temp",Fixed-effects panel regression across 6 daily time-blocks with lead-lag,City / intra-day hourly,"Heat >=35C collapses midday (12-6pm) spending 8-9.4% while morning/evening hold; behaviour shifts in TIME not just place",Proprietary card data; Australian context; online txns excluded; behavioural not tourist-specific,"Concept transfers (temporal shifting); DATA does not - no equivalent open card data for Madrid tourists. Use as justification for time-slice unit, NOT as method",5,Heat-behaviour
"CoolWalks for active mobility in urban street networks",2025,Scientific Reports,Yes,"Manhattan, Barcelona, Valencia","OSM street network + building footprints/heights (Spanish Cadastre, NYC)","Route-choice model with sun-aversion parameter; CoolWalkability metric; 2.5D shadow model",800m neighbourhood radius,"Shade-based routing benefit depends on building-height variation and street irregularity; on a regular grid CoolWalkability is independent of sun-aversion",Fixed sun position; no empirical pedestrian preferences; simplified constant building heights; sidewalk data gaps,"HIGH THREAT: already covers Spanish cities with cadastre HATI would use. Confirms routing frontier is saturated; HATI must NOT frame as routing",5,Routing
"Mitigating Heat Stress by Reducing Solar Exposure in Pedestrian Routing",2025,Transactions in GIS,Yes,Not Madrid (methodological),Street network + solar exposure modelling,Solar-exposure-weighted shortest-path routing,Street segment,"Routing that penalises solar exposure yields materially cooler paths at modest distance cost",Assumes exposure model; no behavioural validation,"Method transferable but competes on saturated frontier; useful as comparator not core",4,Routing
"Walking smart in the heat: a dynamic shade-oriented pathfinding approach to enhance pedestrian comfort in arid cities",2025,Computers Environment and Urban Systems,Yes,Arid city case (MIT Senseable),Building/shade geometry + time-varying sun,Dynamic shade-oriented pathfinding (time-aware),Street network,"Time-dependent shade routing outperforms static shade routing as sun moves",Arid-climate case; computational; no field behavioural test,"Reinforces routing saturation; time-dependence idea relevant to time-slice framing",4,Routing
"Cool routes: real-time human thermal exposure routing",2026,Building and Environment,Yes,Case city,Hourly forecast + street-level shade,Real-time thermal-exposure routing with hourly forecasts,Street level,"Real-time, forecast-driven cool routing reduces walking heat exposure",No tourism suitability layer; routing only,"Confirms even real-time routing is now done; HATI differentiates upstream (suitability, not path)",4,Routing
"Active route choice to minimize pedestrian thermal discomfort in a high-density subtropical city",2025,Sustainable Cities and Society,Yes,Subtropical high-density city,Microclimate + network,Thermal-discomfort-minimising route choice,Street network,"Route choice can meaningfully cut cumulative thermal discomfort",Subtropical context; modelled comfort,"Method transferable; again routing-frontier, not HATI's object",3,Routing
"Is satellite land surface temperature an appropriate proxy for intra-urban variability of daytime heat stress?",2025,Remote Sensing of Environment,Yes,Urban (methodological),Satellite LST + reference heat-stress measures,Comparative proxy evaluation,Intra-urban,"Satellite LST is an inadequate stand-alone proxy for intra-urban daytime human heat stress",Specific cities; sensor/time constraints,"CORE justification for HATI's LST!=comfort rule; cite to defend not using raw LST",5,LST-critique
"Beyond land surface temperature: identifying areas of daytime thermal discomfort in cities by combining remote sensing and field measurements",2025,Urban Climate,Yes,Urban,RS + field measurements,Fusion of RS with in-situ to map discomfort,Intra-urban,"Combining RS with field data identifies discomfort areas that LST alone misses",Requires field campaign,"Directly informs HATI validation design (RS + reference)",5,LST-critique
"Comparative reliability assessment of PET and UTCI thermal comfort indices using Monte Carlo simulation in urban microclimates",2025,Scientific Reports,Yes,Urban microclimate,Microclimate inputs,Monte Carlo uncertainty on PET vs UTCI,Micro-scale,"PET and UTCI differ in reliability/sensitivity; index choice carries quantifiable uncertainty",Simulation-based,"Justifies HATI's uncertainty propagation and index-choice caution",4,Thermal-index
"A framework for heat risk action planning for tourism",2026,Annals of Tourism Research,Yes,Tourism sector (framework),Qualitative/framework,Conceptual heat-risk action-planning framework,Sector/destination,"Provides governance framing for tourism heat risk and adaptation planning",Conceptual; not empirical/spatial,"High relevance for framing and policy positioning; complements HATI's technical layer",4,Tourism-heat
"Climate change and tourism demand: risks for extreme heat?",2024,Heliyon,Yes,Multi-region,Tourism demand + climate,Demand-risk analysis,Regional,"Extreme heat poses material risk to tourism demand under warming",Demand-level; not intra-urban,"Background/motivation; not method",3,Tourism-heat
"Tourism in a warming climate: tourist experiences and adaptive responses to rising temperatures in Southern Europe destinations",2026,Sustainability (MDPI),Yes,Southern Europe,Survey/experience data,Qualitative/adaptive-response analysis,Destination,"Tourists in Southern Europe already adapt experiences/timing to heat",Self-reported; not spatial,"Geographically apt (S. Europe); supports adaptation premise, not behaviour prediction",3,Tourism-heat
"Impact of high temperatures on tourist flows in urban and rural areas: climate adaptation strategies in China",2025,Agriculture (MDPI),Yes,China (urban/rural),Tourist flow + temperature,Flow-temperature analysis,Regional,"High temperatures redistribute tourist flows between urban and rural areas",China context; aggregate flows,"Concept only; DATA basis (flow data) unavailable for Madrid tourists",3,Heat-behaviour
"Heatwaves reduce intra- and intercity human mobility",2025,Environmental Research Letters,Yes,China,Mobile-phone mobility,Empirical mobility-heat analysis,Intra/inter-city,"Heatwaves reduce human mobility within and between cities",Proprietary/large mobility data; China,"Concept supports exposure logic; data not replicable openly for Madrid tourists",3,Heat-behaviour
"Extreme heat reduces and reshapes urban mobility",2026,PNAS Nexus,Yes,US cities,Large-scale mobility,Empirical mobility analysis,City,"Extreme heat both reduces and spatially reshapes urban trips",Proprietary mobility; not tourist-specific,"Motivates spatial reshaping premise; not a usable data source",3,Heat-behaviour
"Mobilities in the heat: identifying travel-related urban heat exposure and its built-environment drivers using remote sensing and mobility data in Chengdu",2025,ISPRS International Journal of Geo-Information,Yes,"Chengdu, China","RS (LST/UHI) + mobility data",RS-mobility fusion for travel heat exposure,Intra-urban,"Built-environment drivers of travel heat exposure identifiable by fusing RS and mobility",Requires mobility data HATI lacks,"Closest methodological cousin; shows the version HATI CANNOT do without mobility data - useful contrast",4,RS-mobility
"Are Barcelona's climate shelters accessible to vulnerable residents? A mobility justice analysis",2025,Cities,Yes,"Barcelona, Spain",Shelter locations + population accessibility,Accessibility / mobility-justice analysis,City,"Climate-shelter accessibility is uneven across vulnerable resident groups",Resident-focused; Barcelona,"Directly transferable method; HATI extends the frame from residents to visitors in Madrid",5,Shelters-access
"Measuring the attractiveness of trip destinations based on human mobility data",2025,Scientific Reports,Yes,Multi-city,Human mobility data,Mobility-derived attractiveness measure,Destination/POI,"Destination attractiveness can be quantified from observed mobility",Needs mobility data,"Attractiveness-from-behaviour approach unavailable to HATI; use POI/static proxy instead and say so",3,POI-attractiveness
"Identifying tourism attractiveness based on intra-destination tourist behaviour: evidence from Wi-Fi data",2024,Current Issues in Tourism,Yes,Destination,Wi-Fi sensing,Behaviour-based attractiveness inference,Intra-destination,"Intra-destination attractiveness inferable from Wi-Fi behavioural traces",Sensor infrastructure; privacy; not open,"Shows behavioural attractiveness needs data HATI lacks; supports static-proxy honesty",3,POI-attractiveness
"Risk of mortality and disease attributable to the heat stress index and its variability during heat waves: an observational study on the city of Madrid",2025,Sustainable Cities and Society,Yes,"Madrid, Spain",Health + heat-stress index,Observational epidemiological analysis,City,"Heat-stress index and its variability predict mortality/disease risk in Madrid heatwaves",Health outcomes not tourism,"MADRID-specific; anchors local heat severity and index relevance",4,Madrid-heat
"Exploring 130 years of temperature-related mortality in the city of Madrid",2026,Scientific Reports,Yes,"Madrid, Spain",Long historical temperature-mortality,Time-series epidemiology,City,"Long-run, rising temperature-mortality burden documented for Madrid","Health, not tourism/behaviour","MADRID-specific motivation; establishes problem severity",4,Madrid-heat
"Heat-related mortality in Europe during 2024 and health emergency forecasting to reduce preventable deaths",2025,Nature Medicine,Yes,Europe,Excess-mortality modelling,Attribution + forecasting,Continental,"Tens of thousands of heat-related deaths in Europe 2024; forecasting can reduce them",Continental scale; health,"Macro motivation and stakes; not method",3,Madrid-heat
"Shade for pedestrians: a novel approach to calculate the spatio-temporal shade benefits of street trees considering pedestrian flow",2025,Building and Environment,Yes,Urban,Tree geometry + pedestrian flow,Spatio-temporal shade-benefit modelling,Street,"Street-tree shade benefit is spatio-temporal and flow-weighted",Needs pedestrian-flow input,"Shade-modelling method transferable; flow-weighting optional and data-limited for Madrid",4,Shade-canopy
"Maximizing the pedestrian radiative cooling benefit per street tree",2022,Landscape and Urban Planning,Yes,Urban,Radiation + tree placement,Radiative-cooling optimisation per tree,Street,"Tree placement can be optimised for pedestrian radiative cooling",Modelled; site-specific,"Foundational shade/MRT method for HATI exposure layer",4,Shade-canopy
"spanishoddata: a package for accessing and working with Spanish open mobility big data",2026,Environment and Planning B: Urban Analytics and City Science,Yes,Spain (national),MITMA mobile-phone origin-destination open data,Open-source data-access tooling,National / district (distritos),"Provides reproducible open access to Spanish population mobility (MITMA) OD flows","Population-level, NOT tourist-specific; district granularity; privacy aggregation","Best accessible mobility proxy for Spain; supports CONTEXT only, cannot isolate tourists - key feasibility boundary",4,Mobility-data
