issue_id,reviewer,section,issue,severity,could_cause_rejection,requires_new_data,fixable_with_existing_evidence,recommended_action,claim_affected,status
I01,"R2 (also R1,Editor)",Intro §1; Results §3.1; Disc §4.1,Physical config is single-valued (all 42 outdoor obs = FEASIBLE WITH CONDITIONS); 33.3% divergence is proxy spread collapsing to one physical band — not disclosed; framing implies physical carries richer decision info,MAJOR,yes (credibility),no,yes,Disclose single-valued physical result in §3.1; reinterpret in §4.1 as proxy over/under-stating vs a uniform strong-stress reference; drop any 'additional decision information' implication,RQ1 / C1 / C3,OPEN
I02,R1; Editor,Intro; Discussion §4.5; Conclusion,Tourism-management contribution thin; core method is domain-agnostic; weak 'so what' for destination managers,MAJOR,yes (TMP fit),no,yes,Reframe Intro+Discussion around a concrete DMO/operator decision using existing scenarios; integrate cited governance/adaptation literature more,contribution / RQ2,OPEN
I03,R3; R1; Attack 2,§2.8; Results §3.2; Disc §4.2,Nearest-open baseline is a straw man; '7/8 candidate set changed' is near-tautological,MAJOR,no,no,yes,"Reframe RQ2 contribution as auditable removal (one machine reason each) + explicit decline, not 'we differ from proximity'",RQ2 / C5,OPEN
I04,R3; Attack 3,Results §3.2; Disc §4.3,S8 NO_DEFENSIBLE_ALTERNATIVE is contingent on a hand-picked 500 m radius (vs 800 m primary),MAJOR,no,no,yes,"Present S8 as capability under a stated tighter reach, not evidence no-alternative is common; make contingency explicit",RQ2 / C7,OPEN
I05,R3,Title/Abstract/keywords; §3.3/§4.4,'Uncertainty-aware' overstates a 2-source partial envelope,MINOR,no,no,yes,Qualify once at first prominent use (e.g. 'tested-uncertainty-aware'); envelope partiality already stated in §5.3,framing / C8-C9,OPEN
I06,R2,RQ1 (Intro); Results §3.1,'physically interpretable' overreaches; mechanism inferred not measured,MINOR,no,no,yes,Soften RQ1 to 'mechanistically consistent with / attributable to the radiant term',RQ1 / C2,OPEN
I07,R3; R1,§2.1; §5.6,Scalability beyond 27 hand-curated assets untested while 'transferable architecture' is claimed,MINOR,no,no,yes,Add one Limitations sentence: candidate-set construction is manual; behaviour at realistic asset counts untested,transferability,OPEN
I08,R2,§2.4,"Default/unmodelled land-cover grid is a real simplification, in Methods but not flagged as a limitation",MINOR,no,no,yes,Add a half-sentence to §5.3 acknowledging the default material set / no custom land cover,physical model caveat,OPEN
I09,Editor; all,whole main text,"Main text 8,746 words is long for TMP; Methods heavy; Discussion/Limitations partial overlap",SHOULD-FIX,no,no,yes,"Move software/environment detail to supplement; de-duplicate Disc §4.5 vs Limitations §5.6; target ~7,700-7,900",length/fit,OPEN
I10,Attack 5,Intro §1; Disc §4.1,"One cited source (Wang et al., 2026) is a preprint",MINOR,no,no,yes,KEEP BUT DE-EMPHASISE; ensure the LST-not-comfort point is not solely preprint-supported (Gál & Kántor 2019 / Bröde 2012 also support it),supporting cite,OPEN
I11,Attack 6,Abstract; RQ1; Results,'materially/material' could be read as an effect-size/inference claim,MINOR,no,no,yes,Keep descriptive framing (Results opener already states no inferential test); optionally replace one 'materially' with 'appreciably',statistical framing,OPEN
I12,R1,§2.8; Results §3.2,Scenarios lean on indoor refuges (S1/S5); indoor treated as assumed refuge,MINOR,no,no,yes,Remind reader in §3.2 that indoor survivals are assumed refuges (already in §5.4),indoor assumption,OPEN
I13,Editor,Title,Title uses method jargon ('decision variable') for a management audience,MINOR (IGNORE-eligible),no,no,yes,Optional: consider a more management-facing title; Phase 5.2I selected the current one deliberately — low priority,title,OPEN
