asset_id,name,indoor_outdoor,morphology,timestamp,tmrt_mean_10m,tmrt_centroid,tmrt_p90_10m,utci_mean_10m,utci_centroid,utci_p90_10m,utci_category,feasibility_phase1_proxy,feasibility_phase2_physical,reclassified,reclassification_direction,evidence_note
A01,Museo del Prado,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A03,Museo Thyssen-Bornemisza,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A04,CaixaForum Madrid,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A05,Museo Naval de Madrid,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A06,Museo Nacional de Antropología,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A07,Museo Nacional de Artes Decorativas,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A08,Real Fábrica de Tapices,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A09,Madrid-Puerta de Atocha-Almudena Grandes,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A10,Estación del Arte,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A11,Retiro,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A12,Banco de España,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A13,Jardín Tropical,indoor,indoor,12:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A14,Puerta de Alcalá,outdoor,plaza_hardscape,12:00,50.6,67.0,66.9,36.8,40.8,40.8,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A15,Fuente de Cibeles,outdoor,plaza_hardscape,12:00,63.8,66.5,66.7,40.0,40.7,40.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A16,Fuente de Neptuno,outdoor,plaza_hardscape,12:00,66.6,66.9,67.0,40.7,40.8,40.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A17,Estatua de Goya,outdoor,street_corridor,12:00,38.4,34.0,66.3,33.9,32.9,40.6,Very strong heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,outdoor,plaza_hardscape,12:00,59.9,30.9,71.0,39.1,32.1,41.8,Extreme heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A19,Real Observatorio de Madrid,outdoor,attraction_exterior,12:00,37.2,34.7,37.4,33.6,33.0,33.7,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A20,Parque del Retiro,outdoor,park_garden,12:00,37.6,32.2,66.2,33.7,32.5,40.6,Very strong heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A21,Real Jardín Botánico de Madrid,outdoor,park_garden,12:00,32.2,32.0,32.3,32.4,32.4,32.5,Very strong heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A22,Palacio de Cristal,outdoor,attraction_exterior,12:00,50.5,66.3,69.2,36.8,40.6,41.3,Very strong heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A23,Jardines de Cecilio Rodríguez,outdoor,park_garden,12:00,61.5,32.2,66.5,39.4,32.4,40.7,Extreme heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A24,La Rosaleda,outdoor,park_garden,12:00,65.3,65.3,65.4,40.4,40.4,40.4,Extreme heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A25,Jardín del Parterre,outdoor,park_garden,12:00,64.9,65.5,65.9,40.3,40.4,40.5,Extreme heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A26,Monumento a Alfonso XII,outdoor,attraction_exterior,12:00,53.5,33.1,66.6,37.5,32.7,40.7,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A27,Jardines del Arquitecto Herrero Palacios,outdoor,park_garden,12:00,53.9,31.9,66.3,37.6,32.4,40.6,Very strong heat stress,FEASIBLE,FEASIBLE WITH CONDITIONS,True,physical model MORE restrictive (proxy underestimated hazard),"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A01,Museo del Prado,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A03,Museo Thyssen-Bornemisza,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A04,CaixaForum Madrid,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A05,Museo Naval de Madrid,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A06,Museo Nacional de Antropología,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A07,Museo Nacional de Artes Decorativas,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A08,Real Fábrica de Tapices,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A09,Madrid-Puerta de Atocha-Almudena Grandes,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A10,Estación del Arte,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A11,Retiro,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A12,Banco de España,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A13,Jardín Tropical,indoor,indoor,15:00,,,,,,,,FEASIBLE,FEASIBLE,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A14,Puerta de Alcalá,outdoor,plaza_hardscape,15:00,47.2,39.3,66.2,40.5,38.6,45.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A15,Fuente de Cibeles,outdoor,plaza_hardscape,15:00,63.1,64.6,64.8,44.4,44.8,44.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A16,Fuente de Neptuno,outdoor,plaza_hardscape,15:00,65.6,64.7,66.1,45.0,44.8,45.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A17,Estatua de Goya,outdoor,street_corridor,15:00,55.5,39.4,66.7,42.6,38.7,45.3,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,outdoor,plaza_hardscape,15:00,63.5,36.5,70.4,44.5,38.0,46.2,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A19,Real Observatorio de Madrid,outdoor,attraction_exterior,15:00,50.8,40.1,67.6,41.4,38.8,45.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
