claim_id,claim,supporting_file,supporting_variable_or_table,statistic,evidence_type,strength,limitation,manuscript_section,figure_or_table_candidate,allowed_wording,forbidden_wording
C1,Thermal-method choice materially changes tourism-feasibility classifications,data/processed/phase2_asset_thermal_exposure.csv; outputs/tables/proxy_vs_physical_comparison.csv,reclassified; overall_reclassification_rate_pct,14/42 = 33.3% outdoor rows reclassified,demonstration (paired classification comparison),strong,Neither method field-validated; single day/pilot; n=42,Results 5.1,Figure 2 / Table 3,"method choice materially alters classifications; the two methods diverge on 33.3% of rows","the proxy is wrong; the model is correct; more accurate decisions"
C2,The proxy-vs-physical divergence is concentrated at noon and physically interpretable,outputs/tables/proxy_vs_physical_comparison.csv,reclassification_rate_by_timestamp_pct,12:00=64.3%; 15:00=0.0%; 18:00=35.7%,demonstration + mechanism,strong,Mechanism inferred from method structure not measured comfort,Results 5.1,Figure 2 (timestamp panel),"at noon air temperature understates modelled radiant load; divergence is time-concentrated","proves air temperature is invalid; proves UTCI accuracy"
C3,At noon modelled UTCI already indicates strong heat stress everywhere outdoors while air temperature reads LOW,outputs/tables/solar_forcing_sensitivity.csv; data/processed/phase2_asset_thermal_exposure.csv,noon_finding_assets_above_32C; utci_mean_10m,14/14 outdoor assets UTCI>=32C at 12:00,demonstration,strong,Modelled UTCI unvalidated; 10m-buffer-mean statistic,Results 5.1 / 3 Study area,Figure 3,"modelled UTCI >=32C (strong heat stress band) at all 14 outdoor assets at noon","measured heat stress; observed discomfort"
C4,Reclassification occurs in both directions (method choice not a one-way bias),outputs/tables/proxy_vs_physical_comparison.csv,reclassification_direction_count,9 physical-more-restrictive; 5 physical-less-restrictive,demonstration,moderate,Small counts; single pilot,Results 5.1,Table 3,"the proxy errs in both directions relative to the model","systematic proxy bias; proxy always underestimates"
C5,Constraint-first heat-aware screening changes the feasible-alternative set vs a conventional nearest-open baseline,outputs/tables/phase3_hati_vs_baseline.csv,candidate_set_changed; n_removed_by_hati_thermal_or_evidence,candidate set changed 7/8; 23 options removed,demonstration,strong,8 constructed scenarios; not a random sample,Results 5.2,Figure 6 / Table 4,"heat-aware screening changes the option set a conventional proximity tool returns","redistributes tourists; improves outcomes"
C6,A conventional nearest-open recommender returns hot outdoor picks that heat-aware screening rejects,outputs/tables/phase3_hati_vs_baseline.csv,baseline_pick_survives_hati; baseline_pick_hati_exclusion,baseline pick fails HATI in 3/8 (OUTDOOR_EXPOSURE_TOO_HIGH),demonstration,strong,Baseline is deliberately naive by construction,Results 5.2,Figure 6 / Table 4,"the naive nearest-open pick fails screening in 3 of 8 scenarios","proves conventional apps are dangerous"
C7,The architecture returns an explicit no-recommendation outcome where appropriate,data/processed/phase3_scenarios_summary.csv,recommendation; scenario_class,S8 = NO_DEFENSIBLE_ALTERNATIVE (0 of 26 survive at 500m),demonstration,strong,One scenario by construction,Results 5.2,Figure 6 (S8 panel),"the engine declines to recommend when nothing accessible is materially better","the tool knows when it is unsafe to go out"
C8,Core results are robust to tested solar-forcing uncertainty,outputs/tables/solar_forcing_sensitivity.csv,decision_changes_pct; utci_delta_max_abs,real-satellite 2.4% (1/42); +/-10% and +/-20% GHI 0 changes,sensitivity analysis,strong,Only solar forcing + geometry tested; not humidity/wind/structural,Results 5.3 / Limitations,Figure 4,"decisions are stable under the solar-forcing uncertainty actually tested","the model is validated; results are certain"
C9,Uncertainty propagates into decisions rather than being hidden,data/processed/phase2_2_decision_confidence.csv; data/processed/phase3_scenarios_summary.csv,decision_confidence; source_decision_confidence,1 UNSTABLE row (A24@18:00) -> INSUFFICIENT_EVIDENCE (S4) / flagged source (S7),demonstration,moderate,Single UNSTABLE case; tested uncertainties only,Results 5.3 / Methods 4.3,Figure 4 / Figure 5,"the one UNSTABLE thermal decision propagates to an evidence-based exclusion","full uncertainty quantification; probabilistic guarantee"
C10,Every exclusion is traceable to one machine-readable reason,outputs/tables/phase3_exclusion_reasons.csv,exclusion_reason; count_in_scenarios,0 untraceable rows; 5-value vocabulary,demonstration,strong,Vocabulary is project-defined,Results 5.2 / Methods 4.4,Table 2,"every exclusion carries one most-fundamental machine reason","interpretable in a human-factors sense (not tested)"
C11,Recommendation category is robust to modest accessibility-radius choice,outputs/tables/phase3_accessibility_sensitivity.csv,recommendation_category_stable_500_1200,stable in 7/8 (S8 the intended exception),sensitivity analysis,moderate,Straight-line radius only; not walking distance,Results 5.2 / Limitations,Table 4 or supplementary,"category stable across 500/800/1200 m in 7 of 8 scenarios","robust to real walking exposure"
C12,Simple open-data vegetation proxies do not converge closely enough to settle the decision,outputs/tables/shade_proxy_agreement.csv,agreement; cohens_kappa,OSM vs Copernicus 71.4% kappa 0.42; 57.1% assets proxy-sensitive,demonstration (pre-registered gate),strong,Proxy families differ in what they physically measure,Methods 4.1 / Discussion,Table 1 or supplementary,"simple proxies disagree below the pre-registered 85% bar, motivating physical modelling","proxies are useless; canopy density is invalid"
C13,A constraint-first design avoids the weight-sensitivity of composite suitability indices,docs/PHASE3_DECISION_ARCHITECTURE.md; docs/RESEARCH_GAP.md,gate chain; no weighted sum,no composite score anywhere; first-failing-gate-wins,argument + implementation,moderate,Thresholds still chosen (defended as auditable),Methods 4.4 / Discussion,Figure 5 / Table 2,"a transparent constraint-first alternative to weighted composite indices","eliminates all subjectivity; assumption-free"
C14,The framework makes no behavioural claim and is bounded to environmental screening,docs/PHASE3_VALIDATION_REPORT.md; docs/PROJECT_CHARTER.md,what-this-phase-cannot-claim section,explicit non-claims documented,scope declaration,strong,By design; a boundary not a result,Discussion / Limitations,none,"the framework screens options and explicitly declines behavioural claims","predicts/changes tourist behaviour"
C15,The pipeline and outputs are fully reproducible from open data,docs/PHASE3_VALIDATION_REPORT.md; src/phase3_*.py; docs/PHASE4_1_IMPLEMENTATION_BASELINE.md,reproducibility section; per-file hashes,all outputs regenerate from src over locked data,reproducibility,strong,Reproducibility is not validity,Methods / Data availability,none,"all reported outputs regenerate from the open pipeline","reproducibility implies physical correctness"
