figure_id,panel,source_file,source_rows_or_filter,source_columns,transformation,output_file,sha256,render_script,new_analysis
FIG01,A: pilot map,data/processed/study_area.geojson; data/processed/pilot_assets.csv,27 assets; study-area polygon,"asset_id,name,latitude,longitude,indoor_outdoor; geometry",reproject 4326->25830; plot polygon + points by indoor/outdoor; 500 m scale bar; N arrow,outputs/publication/figures/FIG01_STUDY_DESIGN_v0.1.pdf,be7ee1629b06233bfb9524cec17310d877df69fe6694df8772608d0f89fe624b,render_fig01.py,FALSE
FIG01,B: architecture schematic,docs/PHASE3_DECISION_ARCHITECTURE.md,gate order + exclusion vocabulary,gate chain; separate decision fields,hand-laid schematic; two equal representation boxes -> gates -> two outcomes,outputs/publication/figures/FIG01_STUDY_DESIGN_v0.1.pdf,be7ee1629b06233bfb9524cec17310d877df69fe6694df8772608d0f89fe624b,render_fig01.py,FALSE
FIG02,A: divergence matrix,data/processed/phase2_asset_thermal_exposure.csv,42 outdoor rows (indoor_outdoor=outdoor),"asset_id,timestamp,reclassified,reclassification_direction",map each cell to agree/more/less; 14x3 matrix,outputs/publication/figures/FIG02_THERMAL_METHOD_DIVERGENCE_v0.1.pdf,a59444acfd3fe14ede9c7e0424e82da0fefc370cb1b8cc3cb88e41bc06a6f930,render_fig02.py,FALSE
FIG02,B: timestamp summary,outputs/tables/proxy_vs_physical_comparison.csv,metric=reclassification_rate_by_timestamp_pct,"group,value,n",100% stacked bars per timestamp (64.3/0.0/35.7),outputs/publication/figures/FIG02_THERMAL_METHOD_DIVERGENCE_v0.1.pdf,a59444acfd3fe14ede9c7e0424e82da0fefc370cb1b8cc3cb88e41bc06a6f930,render_fig02.py,FALSE
FIG03,A: scenario grid,outputs/tables/phase3_hati_vs_baseline.csv; data/processed/phase3_scenarios_summary.csv,S1-S8,"baseline_pick_name,baseline_pick_survives_hati,baseline_pick_hati_exclusion,n_removed_by_hati_thermal_or_evidence,candidate_set_changed,n_candidate_alternatives,source_name,timestamp,access_radius_m","per-scenario status grid; surviving-alt bars; totals 7/8, 3/8, 23",outputs/publication/figures/FIG03_SCREENING_CONSEQUENCE_v0.1.pdf,3c2719cf043125c733d277084bcdf5910cb8a0f1b54c15631beb298d2b006baf,render_fig04.py,FALSE
FIG03,B: S8 highlight,data/processed/phase3_scenarios.csv; data/processed/phase3_scenarios_summary.csv,scenario=S8 (26 rows),"status,exclusion_reason,recommendation,n_candidate_alternatives",outlined row; 0 of 26 survive -> NO_DEFENSIBLE_ALTERNATIVE,outputs/publication/figures/FIG03_SCREENING_CONSEQUENCE_v0.1.pdf,3c2719cf043125c733d277084bcdf5910cb8a0f1b54c15631beb298d2b006baf,render_fig04.py,FALSE
FIG04,A: solar sensitivity,outputs/tables/solar_forcing_sensitivity.csv,metric=decision_changes_vs_phase2_baseline / decision_changes_pct,"scenario,value","bars: real-satellite 1/42, -10% 0, -20% 0",outputs/publication/figures/FIG04_TESTED_UNCERTAINTY_v0.1.pdf,3e5e76396488441b757a1efa639d7994e42d1a350919628dd19edb5f8c9c4c51,render_fig05.py,FALSE
FIG04,B: confidence distribution,data/processed/phase2_2_decision_confidence.csv,42 outdoor rows,"decision_confidence,asset_id,timestamp",count ROBUST 35/BOUNDARY 6/UNSTABLE 1; flag A24@18:00,outputs/publication/figures/FIG04_TESTED_UNCERTAINTY_v0.1.pdf,3e5e76396488441b757a1efa639d7994e42d1a350919628dd19edb5f8c9c4c51,render_fig05.py,FALSE
SFIG01,UTCI field small-multiple,outputs/maps/utci_1200.tif; utci_1500.tif; utci_1800.tif; data/processed/pilot_assets.csv,3 rasters; outdoor asset points,raster UTCI; asset points,shared scale 30-48 (cividis); 32/46 breaks; outdoor asset overlay,outputs/publication/figures/SFIG01_UTCI_FIELD_v0.1.pdf,01b648065a7c8756bb9222ffb49455a082f2fa059f7872237cbba46b3775c652,render_fig03.py,FALSE
GRAPHICAL_ABSTRACT,4 stages + pivot + footer,outputs/tables/proxy_vs_physical_comparison.csv; outputs/tables/phase3_hati_vs_baseline.csv,overall rate; candidate_set_changed,overall_reclassification_rate_pct; reclassification_direction_count; candidate_set_changed,method-neutral 4-stage schematic; 33.3% (14/42) both directions; 7 of 8 footer,outputs/publication/graphical_abstract/HATI_graphical_abstract_v0.1.pdf,a15947af03fd9eff98b6a49b69d489f73816deccc7408f82d7460408bd1d4280,render_graphical_abstract.py,FALSE
