citation,year,journal,peer_reviewed,literature_cluster,study_context,thermal_method,tourism_role,decision_support_role,routing_or_screening,uncertainty_handling,main_finding,relevance_to_HATI,novelty_threat,where_cited_in_manuscript,priority
"Lindberg et al., SOLWEIG 1.0",2008,International Journal of Biometeorology,yes,C,method development,SOLWEIG Tmrt,none,none,neither,none,3D radiant-flux Tmrt model for complex urban settings,method we use for physical thermal layer,none (we use it),Methods 4.2,high
"Brode et al., Deriving UTCI",2012,International Journal of Biometeorology,yes,C,index development,UTCI-Fiala,none,none,neither,none,UTCI category system and derivation,thermal-stress categories used in feasibility mapping,none,Methods 4.2 / Study area,high
"Gal & Kantor, Modeling MRT comparative validation",2019,Urban Climate,yes,C,SOLWEIG/RayMan/ENVI-met validation,SOLWEIG Tmrt,none,none,neither,reports RMSE,SOLWEIG Tmrt RMSE ~3.5-5.7C; over/underestimation regimes,supports plausibility-range statement and honest model caveat,none,Methods 4.2 / Limitations,high
"WRF-UCM-SOLWEIG city-scale thermal comfort mapping",2024,Sustainable Cities and Society,yes,C,city-scale mapping,WRF-UCM-SOLWEIG,none,decision-support mapping,screening-adjacent,none,couples mesoscale forcing to SOLWEIG for city thermal comfort,method precedent for SOLWEIG in decision support; larger-scale but not tourism screening,method precedent only,Methods 4.2 / Discussion,high
"Comparative reliability of PET and UTCI via Monte Carlo",2025,Scientific Reports,yes,C;H,urban microclimate uncertainty,PET/UTCI,none,uncertainty analysis,neither,Monte Carlo propagation,quantifies UTCI/PET reliability under input uncertainty,supports our uncertainty framing; contrast (we use categorical not MC),method/uncertainty precedent,Methods 4.3 / Discussion,medium
"Pedestrian thermal comfort mapping evidence-based planning (Dresden)",2025,Sustainable Cities and Society,yes,C;E,mobile UTCI mapping,measured/modelled UTCI,none,evidence-based planning,neither,none,user-friendly pedestrian UTCI mapping for planning,method-adjacent evidence-based decision support,supporting,Discussion,low
"Cool routes: real-time human thermal exposure routing",2026,Building and Environment,yes,D,pedestrian routing,MRT-based,none,routing tool,routing,hourly forecast (not decision uncertainty),finds cooler paths reducing heat load ~70% of trips,ROUTING boundary - downstream of destination selection,boundary (must distinguish),Literature 2 / Discussion,high
"CoolWalks: shaded routing for active mobility",2025,Scientific Reports,yes,D,shaded routing (Barcelona/Valencia),shade geometry,none,routing metric,routing,none,defines CoolWalkability; shaded-route potential in street networks,ROUTING boundary incl. Spanish cities; strongest 'already done' risk,boundary (must distinguish),Literature 2 / Discussion,high
"UTCI-adjusted pedestrian accessibility (tropical climates)",2026,Sustainable Cities and Society,yes,D;E,urban-design reachability,UTCI-adjusted reach,none,design exploration,accessibility (screening-adjacent),none,defines UTCI-adjusted reach metric for destinations reachable under heat,CLOSEST ADJACENT - thermal accessibility vs our screening,close adjacent (distinguish sharply),Literature 2 / Discussion,high
"Colaninno et al., Sidewalk-level urban heat-risk assessment",2025,Environment and Planning B,yes,D;E,pedestrian mobility + microclimate,UTCI hazard,none,risk mapping,accessibility/exposure,none,sidewalk heat risk from UTCI hazard x pedestrian exposure,method-adjacent; resident/critical-destination risk not opportunity screening,close adjacent,Literature 2 / Methods,medium
