asset_id,name,category,latitude,longitude,indoor_outdoor,source,evidence_notes
A01,Museo del Prado,museum_indoor,40.41382,-3.69162,indoor,"OpenStreetMap relation/7726080 (ODbL, fetched 2026-08-17 via Overpass API)","Museo Nacional del Prado, main building (Edificio Villanueva). Air-conditioned gallery space; principal indoor cool-alternative anchor of the study area."
A02,Museo Nacional Centro de Arte Reina Sofía,museum_indoor,40.408045,-3.694595,indoor,"OpenStreetMap way/991444051 (ODbL, fetched 2026-08-17 via Overpass API)","Museo Nacional Centro de Arte Reina Sofía. Major indoor museum, south end of Paseo del Arte."
A03,Museo Thyssen-Bornemisza,museum_indoor,40.416223,-3.6951,indoor,"OpenStreetMap relation/1869336 (ODbL, fetched 2026-08-17 via Overpass API)","Museo Thyssen-Bornemisza. Indoor museum, north end of Paseo del Arte."
A04,CaixaForum Madrid,museum_indoor,40.411107,-3.693569,indoor,"OpenStreetMap way/286816147 (ODbL, fetched 2026-08-17 via Overpass API)","CaixaForum Madrid. Indoor cultural centre; building also has an external vegetated wall (Jardín Vertical), noted for context but classified by its indoor visitor function."
A05,Museo Naval de Madrid,museum_indoor,40.417518,-3.692389,indoor,"OpenStreetMap way/292649859 (ODbL, fetched 2026-08-17 via Overpass API)",Museo Naval de Madrid. Indoor museum.
A06,Museo Nacional de Antropología,museum_indoor,40.407765,-3.689107,indoor,"OpenStreetMap relation/4525000 (ODbL, fetched 2026-08-17 via Overpass API)",Museo Nacional de Antropología. Indoor museum.
A07,Museo Nacional de Artes Decorativas,museum_indoor,40.417786,-3.689727,indoor,"OpenStreetMap relation/8278843 (ODbL, fetched 2026-08-17 via Overpass API)",Museo Nacional de Artes Decorativas. Indoor museum.
A08,Real Fábrica de Tapices,museum_indoor,40.405803,-3.682407,indoor,"OpenStreetMap way/30759780 (ODbL, fetched 2026-08-17 via Overpass API)","Real Fábrica de Tapices. Working tapestry workshop and museum, indoor visit."
A09,Madrid-Puerta de Atocha-Almudena Grandes,transit_hub,40.404557,-3.688683,indoor,"OpenStreetMap way/733993037 (ODbL, fetched 2026-08-17 via Overpass API)","Estación de Madrid-Puerta de Atocha-Almudena Grandes: main-line rail terminus, air-conditioned concourse; principal transit-accessible indoor refuge at the south end of the study area."
A10,Estación del Arte,transit_hub,40.408839,-3.691475,indoor,"OpenStreetMap node/5299314577 (ODbL, fetched 2026-08-17 via Overpass API)","Estación del Arte (Metro Línea 1, formerly 'Atocha'). Underground metro station, indoor/underground refuge and rapid-transit anchor."
A11,Retiro,transit_hub,40.420477,-3.686421,indoor,"OpenStreetMap node/25903356 (ODbL, fetched 2026-08-17 via Overpass API)","Retiro (Metro Línea 2). Underground metro station at the NE study-area boundary, adjacent to Puerta de Alcalá / Retiro."
A12,Banco de España,transit_hub,40.419055,-3.694926,indoor,"OpenStreetMap node/5303271999 (ODbL, fetched 2026-08-17 via Overpass API)",Banco de España (Metro Línea 2). Underground metro station near Cibeles / Paseo del Prado.
A13,Jardín Tropical,transit_hub_green,40.407014,-3.691364,indoor,"OpenStreetMap way/554720472 (ODbL, fetched 2026-08-17 via Overpass API)","Jardín Tropical, historic Atocha station hall (Estación de Atocha antigua). A glazed indoor tropical garden inside the former station's train shed — unusual dual-role site: transit-adjacent AND indoor vegetated cool refuge; kept as its own asset because it is not a typical museum or ordinary station concourse."
A14,Puerta de Alcalá,monument_outdoor,40.419987,-3.688724,outdoor,"OpenStreetMap way/174805987 (ODbL, fetched 2026-08-17 via Overpass API)",Puerta de Alcalá. Free-standing neoclassical gate on a large open traffic roundabout/plaza; minimal overhead shade at the monument itself.
A15,Fuente de Cibeles,monument_outdoor,40.419334,-3.693088,outdoor,"OpenStreetMap relation/6345116 (ODbL, fetched 2026-08-17 via Overpass API)","Fuente de Cibeles, Plaza de Cibeles. Open monumental roundabout plaza, hard-paved, minimal tree cover immediately at the fountain."
A16,Fuente de Neptuno,monument_outdoor,40.415255,-3.694151,outdoor,"OpenStreetMap way/553098274 (ODbL, fetched 2026-08-17 via Overpass API)","Fuente de Neptuno, Plaza de Cánovas del Castillo. Open traffic-circle plaza between the Prado and Thyssen; minimal shade at the fountain itself."
A17,Estatua de Goya,monument_outdoor,40.414983,-3.692537,outdoor,"OpenStreetMap node/2045974223 (ODbL, fetched 2026-08-17 via Overpass API)","Estatua de Goya, Prado forecourt (Puerta de Goya entrance area). High-footfall queueing area on the Paseo del Prado sidewalk; sparse street-tree shade."
A18,Palacio de Cibeles - Ayuntamiento de Madrid,monument_outdoor,40.418851,-3.691903,outdoor,"OpenStreetMap node/8928518873 (ODbL, fetched 2026-08-17 via Overpass API)",Palacio de Cibeles (Ayuntamiento de Madrid). Landmark building with public viewpoint (mirador); surrounding plaza is open and hard-paved.
A19,Real Observatorio de Madrid,monument_outdoor,40.408436,-3.687266,outdoor,"OpenStreetMap way/29471311 (ODbL, fetched 2026-08-17 via Overpass API)","Real Observatorio de Madrid. Historic hilltop observatory building at the south edge of the study area; elevated, exposed site with limited surrounding canopy."
A20,Parque del Retiro,park_general,40.414864,-3.682713,outdoor,"OpenStreetMap relation/13616929 (ODbL, fetched 2026-08-17 via Overpass API)",Parque del Retiro. The study area's largest green space; asset point placed at the Estanque Grande (central lake) as the park's best-known tourist anchor.
A21,Real Jardín Botánico de Madrid,garden_outdoor,40.411169,-3.690753,outdoor,"OpenStreetMap way/15244804 (ODbL, fetched 2026-08-17 via Overpass API)","Real Jardín Botánico de Madrid. Densely planted, ticketed botanical garden immediately south of the Prado."
A22,Palacio de Cristal,outdoor_pavilion_shaded,40.413592,-3.682057,outdoor,"OpenStreetMap way/23596451 (ODbL, fetched 2026-08-17 via Overpass API)","Palacio de Cristal, Parque del Retiro. Glass exhibition pavilion beside a small lake, set within mature tree cover."
A23,Jardines de Cecilio Rodríguez,garden_outdoor,40.413348,-3.677973,outdoor,"OpenStreetMap relation/10005473 (ODbL, fetched 2026-08-17 via Overpass API)","Jardines de Cecilio Rodríguez, Parque del Retiro. Formal, densely-planted, well-shaded garden (cedars, fountains, peacocks), a well-documented cool micro-site within the park."
A24,La Rosaleda,garden_outdoor,40.410788,-3.680318,outdoor,"OpenStreetMap way/29471363 (ODbL, fetched 2026-08-17 via Overpass API)","La Rosaleda, Parque del Retiro. Rose garden; planted but lower-canopy than Cecilio Rodríguez (shrub-height roses rather than closed tree canopy)."
A25,Jardín del Parterre,garden_outdoor,40.415295,-3.687406,outdoor,"OpenStreetMap relation/20827650 (ODbL, fetched 2026-08-17 via Overpass API)","Jardín del Parterre, Parque del Retiro. Formal historic garden near the Casón del Buen Retiro, mixed open lawn and mature trees."
A26,Monumento a Alfonso XII,outdoor_attraction_mixed_shade,40.417314,-3.683067,outdoor,"OpenStreetMap way/722360391 (ODbL, fetched 2026-08-17 via Overpass API)","Monumento a Alfonso XII / Estanque Grande colonnade. Iconic lake-front monument; monument steps are open and sun-exposed, lake-path edges have tree shade nearby."
A27,Jardines del Arquitecto Herrero Palacios,garden_outdoor,40.415613,-3.678634,outdoor,"OpenStreetMap relation/10005474 (ODbL, fetched 2026-08-17 via Overpass API)","Jardines del Arquitecto Herrero Palacios, Parque del Retiro. Planted garden area near Puerta de Alcalá / Casa de Fieras, mature tree cover."
