asset_id,name,morphology,timestamp,utci_baseline,thermal_stress_state,utci_category_official,decision_state,feasibility_state,envelope_low,envelope_high,envelope_width,envelope_low_source,envelope_high_source,demonstrated_sensitivity_c,n_realizations,n_geometry_realizations,decision_confidence,robustness_phase2_1,confidence_changed_vs_phase2_1,uncertainty_reason
A14,Puerta de Alcalá,plaza_hardscape,12:00,36.8,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,36.2,36.8,0.6,SENS_B_minus20pct,BASELINE,0.6,4,0,ROBUST,ROBUST,False,"envelope 36.2-36.8 C stays 4.2 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.6 C); no realization flips the decision"
A15,Fuente de Cibeles,plaza_hardscape,12:00,40.0,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,37.7,40.0,2.3,SENS_B_minus20pct,BASELINE,2.3,4,0,ROBUST,ROBUST,False,"envelope 37.7-40.0 C stays 5.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (2.3 C); no realization flips the decision"
A16,Fuente de Neptuno,plaza_hardscape,12:00,40.7,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,38.9,40.7,1.8,SENS_B_minus20pct,BASELINE,1.8,4,0,ROBUST,ROBUST,False,"envelope 38.9-40.7 C stays 5.3 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.8 C); no realization flips the decision"
A17,Estatua de Goya,street_corridor,12:00,33.9,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,33.9,33.9,0.0,BASELINE,BASELINE,0.0,4,0,ROBUST,BOUNDARY,True,"envelope 33.9-33.9 C stays 1.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.0 C); no realization flips the decision"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,plaza_hardscape,12:00,39.1,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,38.1,39.1,1.0,SENS_B_minus20pct,BASELINE,1.0,4,0,ROBUST,ROBUST,False,"envelope 38.1-39.1 C stays 6.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.0 C); no realization flips the decision"
A19,Real Observatorio de Madrid,attraction_exterior,12:00,33.6,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,33.6,33.8,0.2,BASELINE,REAL_SATELLITE,0.2,4,0,ROBUST,BOUNDARY,True,"envelope 33.6-33.8 C stays 1.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.2 C); no realization flips the decision"
A20,Parque del Retiro,park_garden,12:00,33.7,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,33.5,33.7,0.2,SENS_B_minus20pct,BASELINE,0.2,4,0,ROBUST,BOUNDARY,True,"envelope 33.5-33.7 C stays 1.5 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.2 C); no realization flips the decision"
A21,Real Jardín Botánico de Madrid,park_garden,12:00,32.4,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,32.4,32.6,0.2,BASELINE,SENS_B_minus20pct,0.2,4,0,ROBUST,BOUNDARY,True,"envelope 32.4-32.6 C stays 0.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.2 C); no realization flips the decision"
A22,Palacio de Cristal,attraction_exterior,12:00,36.8,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,36.3,36.8,0.5,SENS_B_minus20pct,BASELINE,0.5,4,0,ROBUST,ROBUST,False,"envelope 36.3-36.8 C stays 4.3 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A23,Jardines de Cecilio Rodríguez,park_garden,12:00,39.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,38.1,39.4,1.3,SENS_B_minus20pct,BASELINE,1.3,7,3,ROBUST,BOUNDARY,True,"envelope 38.1-39.4 C stays 6.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.3 C); no realization flips the decision"
