visual_id,panel,claim,source_file,source_columns,transformation_required,new_analysis_required,output_type,main_or_supplement,notes
F1,a,"Bounded Madrid pilot; 27 assets, indoor/outdoor split",data/processed/study_area.geojson; data/processed/pilot_assets.csv,"geometry; asset_id, name, indoor_outdoor, lat, lon",Plot polygon + points; add scale bar and indoor/outdoor legend,FALSE,map (SVG/PDF master; TIFF export),main,"Label 'Madrid pilot study area'; re-render from source, do not reuse 01/02 PNG"
F1,b,Two thermal representations feed one constraint-first screen (C13),docs/PHASE3_DECISION_ARCHITECTURE.md; src/thresholds.py,gate order; exclusion vocabulary,Vector schematic of pipeline + ordered gate chain,FALSE,schematic (SVG),main,Absorbs old decision-architecture figure; no composite score shown
F2,a,"Thermal-method choice changes classifications, both directions (H1/C1/C4)",data/processed/phase2_asset_thermal_exposure.csv,"asset_id, timestamp, indoor_outdoor, feasibility_phase1_proxy, feasibility_phase2_physical, reclassified, reclassification_direction",Filter 42 outdoor rows; map each cell to agree / more-restrictive / less-restrictive,FALSE,matrix chart (SVG),main,14 assets x 3 timestamps; NOT a proxy->physical flow (physical side single-valued)
F2,b,Divergence is time-concentrated: 64.3/0.0/35.7% (H2/C2),outputs/tables/proxy_vs_physical_comparison.csv,metric=reclassification_rate_by_timestamp_pct; group; value; n,Bar of three timestamp rates,FALSE,bar chart (SVG),main,n=14 per timestamp; label denominators
F2,annot,Noon: LOW air-temp hazard vs model UTCI >=32C at 14/14 (C3),outputs/tables/solar_forcing_sensitivity.csv; data/processed/phase2_asset_thermal_exposure.csv,noon_finding_assets_above_32C; utci_mean_10m,Small caption on separate non-shared scales,FALSE,annotation (SVG text),main,Optional; two-construct labels; omit if not elegant; never imply AEMET failure
F3,single,Model-derived UTCI field is spatially/temporally structured; noon >=32C (C3),outputs/maps/utci_1200.tif; outputs/maps/utci_1500.tif; outputs/maps/utci_1800.tif; data/processed/pilot_assets.csv,raster UTCI values; asset points,Unified small-multiple; shared ramp; 32/46C breaks; asset overlay,FALSE,"map small-multiple (PDF/SVG, raster embedded)",main,Label 'model-derived UTCI'; demotable to supplementary; re-render (existing PNGs non-uniform)
F4,a,Candidate set changed 7/8; nearest-open fails 3/8; 23 removed (C5/C6),outputs/tables/phase3_hati_vs_baseline.csv; data/processed/phase3_scenarios_summary.csv,"scenario, baseline_pick_name, baseline_pick_survives_hati, baseline_pick_hati_exclusion, n_removed_by_hati_thermal_or_evidence, candidate_set_changed, n_candidate_alternatives, recommendation",Per-scenario status grid + annotated totals,FALSE,grid chart (SVG),main,No ranked 'best destination' chart
F4,b,"Explicit no-survivor state: S8 26 evaluated, 0 survive (C7)",data/processed/phase3_scenarios.csv; data/processed/phase3_scenarios_summary.csv,scenario=S8 rows; status; exclusion_reason; recommendation=NO_DEFENSIBLE_ALTERNATIVE,Highlight row/panel; count evaluated vs survived,FALSE,inset panel (SVG),main,"Architectural outcome, not a normative 'responsible choice'"
F5,a,"Decisions stable under tested solar forcing: 1/42, 0, 0 (H5/C8)",outputs/tables/solar_forcing_sensitivity.csv,metric=decision_changes_vs_phase2_baseline; decision_changes_pct; scenario,Bar/dot of changes per realization,FALSE,chart (SVG),main,"Title 'under tested uncertainty', never 'validation'"
F5,b,Confidence distribution 35/6/1; A24@18:00 sole UNSTABLE (C9),data/processed/phase2_2_decision_confidence.csv,"asset_id, timestamp, decision_confidence",Count by class; flag A24 18:00,FALSE,chart (SVG),main,Caption: envelope covers solar + targeted geometry only (tested != total)
GA,stage1,Urban tourism opportunities under extreme heat (context),manuscript/MANUSCRIPT_v0.1.md,narrative only,Simple context glyph + label,FALSE,graphical abstract stage (SVG),main,No decorative skyline
GA,stage2,Two equal thermal representations (method-choice pivot),docs/PHASE5_0_PROXY_DEFINITION.md; docs/PHASE2_UTCI_METHOD.md,proxy inputs; SOLWEIG->Tmrt->UTCI chain,Symmetric two-branch block; neutral 'vs' connector,FALSE,graphical abstract stage (SVG),main,Equal visual authority; no green/red; no arrow proxy->physical
GA,stage3,"33.3% (14/42) classifications changed, both directions",outputs/tables/proxy_vs_physical_comparison.csv,overall_reclassification_rate_pct; reclassification_direction_count,Single stat + two-headed both-directions indicator,FALSE,graphical abstract stage (SVG),main,Exclude 64.3% noon result from GA
GA,stage4,Constraint-first screen -> surviving alternatives or no defensible alternative (C7/C13),docs/PHASE3_DECISION_ARCHITECTURE.md; outputs/tables/phase3_hati_vs_baseline.csv,gate order; candidate_set_changed,Compact gates -> two equal-weight outcome boxes; footer '7 of 8',FALSE,graphical abstract stage (SVG),main,Both outcomes visible; no-alternative box not styled as failure
SFig,1,Read-only decision-support prototype is presentable (not a result),outputs/design/phase4_0_wireframes.html; Dash app,UI screenshot,Annotated screenshot,FALSE,screenshot (PNG),supplement,Optional; labelled 'not a scientific result'; never in graphical abstract
