layer,role,source_publisher,dataset_product,provenance_url_or_service,vintage,geometry_semantics,resolution,crs,coverage_over_OD1,topology,licence_reuse,alignment_to_MDS_MDT,status,known_limitations,gate2_acquisition_instruction,sha256_if_in_repo
TERRAIN,Bare-earth terrain (MDT),Ayuntamiento de Madrid (Geoportal),Modelo Digital del Terreno actualizado (MDT 2019),https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/ (MDT actualizado; 1km tiles),2019 aerial/LiDAR,ground elevation (bare earth),10 cm mesh (COG tiles),EPSG:25830,full,raster grid,Madrid open (free reuse + attribution),native pair with MDS 2023,ACCEPT,municipal MDT 2019 vs IGN MDT 5m differ in resolution; verify tile CRS on clip,BOUNDED clip: select 1km tiles covering OD1 bbox (25830 ~440941-442525 E / 4472831-4474706 N) from download-mesh shapefile; clip to OD1; do NOT bulk-download city,n/a (not yet clipped)
TERRAIN (cross-check/fallback),Bare-earth terrain,IGN/CNIG,PNOA-LiDAR MDT 5m (Elevacion25830_5),https://servicios.idee.es/wcs-inspire/mdt (WCS 2.0.1; VERIFIED live 2026-09-15),PNOA-LiDAR,ground elevation,5 m,EPSG:25830 (malformed LOCAL_CS tag; re-tag),full,raster,IGN/CNIG open,coarser terrain fallback,ACCEPT WITH UNCERTAINTY,5 m vs 10 cm; CRS re-tag needed (documented in repo),in-repo clip exists,cd9300da35e13261
NORMALIZED SURFACE HEIGHT,Top-of-everything surface height (nSH),Ayuntamiento de Madrid (Geoportal),MDS 2023 minus MDT 2019,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=MDS_2023 (COG tiles; map service id=MDS2023),MDS from 2023 flight (~100 pts/m2 photogrammetric),NORMALIZED SURFACE height = MDS-MDT; NOT building/canopy until classified,1 m COG (10 cm tiles),EPSG:25830,full,raster,Madrid open,IS the MDS/MDT pair,ACCEPT WITH UNCERTAINTY,unclassified (no building/veg split); photogrammetric (noisier over canopy; no sub-canopy); leaf-state = 2023 flight date; NOT LiDAR-classified,BOUNDED clip MDS 2023 + MDT 2019 tiles covering OD1 -> nSH=MDS-MDT in EPSG:25830; hash on clip,n/a (not yet clipped)
BUILDING FOOTPRINT (classifier),Building-footprint source to classify nSH into buildings (L17),Direccion General del Catastro (Ministerio de Hacienda),Catastro INSPIRE Buildings (bu-ext2d:Building),https://ovc.catastro.meh.es/INSPIRE/wfsBU.aspx (WFS 2.0.0; AUDITED live 2026-09-15),current cadastre (beginLifespanVersion attribute present),2D FOOTPRINT polygons (planimetric outline),vector polygons,EPSG:4326 (reproject to 25830),full (Madrid common regime; not Basque/Navarre),polygon features,Catastro open reuse (free),footprints mask nSH -> building height,ACCEPT (footprints) / height attribute REJECTED,numberOfFloorsAboveGround frequently nil=unpopulated and is a floor-count proxy not roof height; use footprint GEOMETRY only; building HEIGHT from nSH within footprint,BOUNDED WFS GetFeature bbox=OD1 typenames=bu-ext2d:Building srsname=EPSG::4326; reproject 25830; use polygon rings as building mask,n/a (audited not stored)
BUILDING nDSM (cross-vintage check),Building height cross-check,IGN/CNIG,PNOA-LiDAR MDSn edificacion 2.5m (mdsn_e025),https://wcs-mds.idee.es/mds (WCS 2.0.1; VERIFIED live 2026-09-15),PNOA 1st coverage 2008-2015,building normalized height (nDSM),2.5 m,EPSG:25830 (re-tag),full,raster,IGN/CNIG open,independent cross-vintage,ACCEPT WITH UNCERTAINTY,8-15 yr vintage; heritage core largely stable,in-repo clip exists; E-P4 cross-vintage sensitivity,75f9916e5e3772b8
VEGETATION/CANOPY HEIGHT (masked nSH),Canopy height (nSH behind a vegetation mask),Ayuntamiento de Madrid + derived,MDS 2023 nSH masked to vegetation,see NORMALIZED SURFACE HEIGHT + mask below,2023 surface,canopy height ONLY where veg mask=vegetation,1 m,EPSG:25830,full,raster masked,Madrid open,masked subset of nSH,ACCEPT WITH UNCERTAINTY (mask OPEN-was L17),no crown transmissivity/leaf-state/sub-canopy; canopy only AFTER a justified mask,derive veg mask (below) then canopy=nSH*mask; bound via E-P2,n/a
VEGETATION MASK (classifier),Vegetation mask + tree presence audit,Ayuntamiento de Madrid,Arbolado en parques y zonas verdes (detalle) + OSM green polygons + Copernicus TCD,datos.madrid.es 300761; data/raw/madrid_arbolado/*live.geojson; data/raw/osm/*green*,inventory 2025/2026; TCD 2018; OSM live,POINT trees (species+ALTURA height) + green polygons + TCD density,point / polygon / raster %,EPSG:4326/25830,OD1 covered (1322 park + 1528 street trees in-corridor),points+polygons+raster,Madrid/OSM ODbL/Copernicus open,mask over nSH,ACCEPT WITH UNCERTAINTY,points NOT crown polygons; no historical crown; one 139 m ALTURA outlier to clean; TCD 2018 vintage,"build veg mask = union(tree buffers, OSM green polygons, TCD>threshold); NEVER Sentinel-2/optical as thermal/LST",6793e0697fef4d4e (park); ef4a4f8723dc7d9d (street)
CANOPY DENSITY (context),Tree-cover density,Copernicus Land (HRL),Tree Cover Density (TCD) 2018,data/raw/copernicus_tcd/tcd_2018_study_area.tif,2018,tree-cover density %,10 m,EPSG:25830,full,raster,Copernicus open,density context for mask,ACCEPT WITH UNCERTAINTY,2018 vintage; density not height,in-repo; E-P2 alternative canopy state,e49dd50bffd1836b
CANOPY nDSM (cross-vintage check),Canopy height cross-check,IGN/CNIG,PNOA-LiDAR MDSn vegetacion 2.5m (mdsn_v025),https://wcs-mds.idee.es/mds (VERIFIED live 2026-09-15),PNOA 2008-2015,canopy normalized height,2.5 m,EPSG:25830 (re-tag),full,raster,IGN/CNIG open,independent cross-vintage,ACCEPT WITH UNCERTAINTY,~decade stale (dominant vintage gap),in-repo clip; E-P2 canopy state,6bfedd1f6027be02
LAND COVER,Albedo/emissivity,SOLWEIG package default,default surface classification,n/a,n/a,uniform default,uniform,n/a,uniform,SOLWEIG open,n/a,MISSING (non-blocking),no site-specific pavement/grass/water raster,optional refinement only if a route crosses strongly contrasting surface (L12),n/a,n/a
