scenario,source_id,source_name,timestamp,access_radius_m,candidate_id,candidate_name,candidate_category,experience_type,indoor_outdoor,distance_m,walk_min,cand_thermal_state,cand_decision_state,cand_decision_confidence,cand_utci,source_utci,cand_evidence_confidence,status,exclusion_reason,improvement_note
S1,A16,Fuente de Neptuno,15:00,800,A01,Museo del Prado,museum_indoor,indoor_cultural,indoor,267.0,3.3,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S1,A16,Fuente de Neptuno,15:00,800,A02,Museo Nacional Centro de Arte Reina Sofía,museum_indoor,indoor_cultural,indoor,803.0,10.0,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A03,Museo Thyssen-Bornemisza,museum_indoor,indoor_cultural,indoor,134.0,1.7,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S1,A16,Fuente de Neptuno,15:00,800,A04,CaixaForum Madrid,museum_indoor,indoor_cultural,indoor,464.0,5.8,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S1,A16,Fuente de Neptuno,15:00,800,A05,Museo Naval de Madrid,museum_indoor,indoor_cultural,indoor,293.0,3.7,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S1,A16,Fuente de Neptuno,15:00,800,A06,Museo Nacional de Antropología,museum_indoor,indoor_cultural,indoor,936.0,11.7,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S1,A16,Fuente de Neptuno,15:00,800,A07,Museo Nacional de Artes Decorativas,museum_indoor,indoor_cultural,indoor,468.0,5.9,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S1,A16,Fuente de Neptuno,15:00,800,A08,Real Fábrica de Tapices,museum_indoor,indoor_cultural,indoor,1447.0,18.1,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S1,A16,Fuente de Neptuno,15:00,800,A09,Madrid-Puerta de Atocha-Almudena Grandes,transit_hub,transit_refuge,indoor,1276.0,16.0,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A10,Estación del Arte,transit_hub,transit_refuge,indoor,749.0,9.4,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S1,A16,Fuente de Neptuno,15:00,800,A11,Retiro,transit_hub,transit_refuge,indoor,875.0,10.9,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A12,Banco de España,transit_hub,transit_refuge,indoor,428.0,5.3,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S1,A16,Fuente de Neptuno,15:00,800,A13,Jardín Tropical,transit_hub_green,indoor_green_refuge,indoor,946.0,11.8,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A14,Puerta de Alcalá,monument_outdoor,outdoor_monument,outdoor,699.0,8.7,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,40.5,45.0,HIGH,CANDIDATE_ALTERNATIVE,,UTCI 40.5 <= source 45.0 - 0.8
S1,A16,Fuente de Neptuno,15:00,800,A15,Fuente de Cibeles,monument_outdoor,outdoor_monument,outdoor,462.0,5.8,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,BOUNDARY,44.4,45.0,MODERATE,EXCLUDED,NO_MEANINGFUL_THERMAL_IMPROVEMENT,"UTCI 44.4 vs 45.0, < 0.8 improvement"
S1,A16,Fuente de Neptuno,15:00,800,A17,Estatua de Goya,monument_outdoor,outdoor_monument,outdoor,140.0,1.7,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,42.6,45.0,HIGH,CANDIDATE_ALTERNATIVE,,UTCI 42.6 <= source 45.0 - 0.8
S1,A16,Fuente de Neptuno,15:00,800,A18,Palacio de Cibeles - Ayuntamiento de Madrid,monument_outdoor,outdoor_monument,outdoor,443.0,5.5,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,44.5,45.0,MODERATE,CANDIDATE_ALTERNATIVE,,"confidence gain (ROBUST vs boundary/unstable source), not hotter"
S1,A16,Fuente de Neptuno,15:00,800,A19,Real Observatorio de Madrid,monument_outdoor,outdoor_monument,outdoor,956.0,12.0,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,41.4,45.0,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S1,A16,Fuente de Neptuno,15:00,800,A20,Parque del Retiro,park_general,green_outdoor,outdoor,969.0,12.1,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,38.6,45.0,HIGH,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A21,Real Jardín Botánico de Madrid,garden_outdoor,green_outdoor,outdoor,538.0,6.7,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,38.4,45.0,HIGH,CANDIDATE_ALTERNATIVE,,UTCI 38.4 <= source 45.0 - 0.8
S1,A16,Fuente de Neptuno,15:00,800,A22,Palacio de Cristal,outdoor_pavilion_shaded,shaded_outdoor,outdoor,1040.0,13.0,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,43.9,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A23,Jardines de Cecilio Rodríguez,garden_outdoor,green_outdoor,outdoor,1386.0,17.3,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,44.4,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A24,La Rosaleda,garden_outdoor,green_outdoor,outdoor,1272.0,15.9,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,BOUNDARY,45.0,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A25,Jardín del Parterre,garden_outdoor,green_outdoor,outdoor,571.0,7.1,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,BOUNDARY,45.0,45.0,MODERATE,EXCLUDED,NO_MEANINGFUL_THERMAL_IMPROVEMENT,"UTCI 45.0 vs 45.0, < 0.8 improvement"
S1,A16,Fuente de Neptuno,15:00,800,A26,Monumento a Alfonso XII,outdoor_attraction_mixed_shade,shaded_outdoor,outdoor,966.0,12.1,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,42.1,45.0,HIGH,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S1,A16,Fuente de Neptuno,15:00,800,A27,Jardines del Arquitecto Herrero Palacios,garden_outdoor,green_outdoor,outdoor,1314.0,16.4,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,43.5,45.0,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S2,A15,Fuente de Cibeles,15:00,800,A01,Museo del Prado,museum_indoor,indoor_cultural,indoor,626.0,7.8,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S2,A15,Fuente de Cibeles,15:00,800,A02,Museo Nacional Centro de Arte Reina Sofía,museum_indoor,indoor_cultural,indoor,1262.0,15.8,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S2,A15,Fuente de Cibeles,15:00,800,A03,Museo Thyssen-Bornemisza,museum_indoor,indoor_cultural,indoor,386.0,4.8,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
S2,A15,Fuente de Cibeles,15:00,800,A04,CaixaForum Madrid,museum_indoor,indoor_cultural,indoor,916.0,11.4,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S2,A15,Fuente de Cibeles,15:00,800,A05,Museo Naval de Madrid,museum_indoor,indoor_cultural,indoor,210.0,2.6,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S2,A15,Fuente de Cibeles,15:00,800,A06,Museo Nacional de Antropología,museum_indoor,indoor_cultural,indoor,1330.0,16.6,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S2,A15,Fuente de Cibeles,15:00,800,A07,Museo Nacional de Artes Decorativas,museum_indoor,indoor_cultural,indoor,333.0,4.2,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S2,A15,Fuente de Cibeles,15:00,800,A08,Real Fábrica de Tapices,museum_indoor,indoor_cultural,indoor,1755.0,21.9,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,CLOSED_AT_TIMESTAMP,
S2,A15,Fuente de Cibeles,15:00,800,A09,Madrid-Puerta de Atocha-Almudena Grandes,transit_hub,transit_refuge,indoor,1685.0,21.1,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S2,A15,Fuente de Cibeles,15:00,800,A10,Estación del Arte,transit_hub,transit_refuge,indoor,1175.0,14.7,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,EXCLUDED,ACCESSIBILITY_CONSTRAINT,
S2,A15,Fuente de Cibeles,15:00,800,A11,Retiro,transit_hub,transit_refuge,indoor,579.0,7.2,INDOOR_NOT_MODELLED,INDOOR_REFUGE,INDOOR_BYPASS,,44.4,MODERATE,CANDIDATE_ALTERNATIVE,,indoor refuge vs outdoor source (categorical)
