asset_id,name,morphology,timestamp,baseline_utci_10m,baseline_feasibility,solar_scenario_utci_min,solar_scenario_utci_max,solar_decision_flip,geometry_confidence_flag,robustness,reason
A14,Puerta de Alcalá,plaza_hardscape,12:00,36.8,FEASIBLE WITH CONDITIONS,36.2,36.6,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A15,Fuente de Cibeles,plaza_hardscape,12:00,40.0,FEASIBLE WITH CONDITIONS,37.7,38.9,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A16,Fuente de Neptuno,plaza_hardscape,12:00,40.7,FEASIBLE WITH CONDITIONS,38.9,39.8,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A17,Estatua de Goya,street_corridor,12:00,33.9,FEASIBLE WITH CONDITIONS,33.9,33.9,False,REPRESENTATIVE,BOUNDARY,"UTCI (33.9-33.9C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,plaza_hardscape,12:00,39.1,FEASIBLE WITH CONDITIONS,38.1,38.6,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A19,Real Observatorio de Madrid,attraction_exterior,12:00,33.6,FEASIBLE WITH CONDITIONS,33.8,33.8,False,REPRESENTATIVE,BOUNDARY,"UTCI (33.8-33.8C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A20,Parque del Retiro,park_garden,12:00,33.7,FEASIBLE WITH CONDITIONS,33.5,33.7,False,REPRESENTATIVE,BOUNDARY,"UTCI (33.5-33.7C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A21,Real Jardín Botánico de Madrid,park_garden,12:00,32.4,FEASIBLE WITH CONDITIONS,32.5,32.6,False,REPRESENTATIVE,BOUNDARY,"UTCI (32.5-32.6C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A22,Palacio de Cristal,attraction_exterior,12:00,36.8,FEASIBLE WITH CONDITIONS,36.3,36.6,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A23,Jardines de Cecilio Rodríguez,park_garden,12:00,39.4,FEASIBLE WITH CONDITIONS,38.1,38.8,False,POSSIBLY STALE,BOUNDARY,asset geometry-flagged POSSIBLY STALE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A24,La Rosaleda,park_garden,12:00,40.4,FEASIBLE WITH CONDITIONS,39.0,39.7,False,POSSIBLY STALE,BOUNDARY,asset geometry-flagged POSSIBLY STALE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A25,Jardín del Parterre,park_garden,12:00,40.3,FEASIBLE WITH CONDITIONS,38.9,39.6,False,PARTIALLY REPRESENTATIVE,BOUNDARY,asset geometry-flagged PARTIALLY REPRESENTATIVE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A26,Monumento a Alfonso XII,attraction_exterior,12:00,37.5,FEASIBLE WITH CONDITIONS,36.7,37.2,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A27,Jardines del Arquitecto Herrero Palacios,park_garden,12:00,37.6,FEASIBLE WITH CONDITIONS,36.6,37.1,False,POSSIBLY STALE,BOUNDARY,asset geometry-flagged POSSIBLY STALE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A14,Puerta de Alcalá,plaza_hardscape,15:00,40.5,FEASIBLE WITH CONDITIONS,40.5,40.6,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A15,Fuente de Cibeles,plaza_hardscape,15:00,44.4,FEASIBLE WITH CONDITIONS,42.4,44.5,False,NOT AUDITED,BOUNDARY,"UTCI (42.4-44.5C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
