asset_id,name,tourism_category,indoor_outdoor,latitude,longitude,opening_hours,opening_hours_source,open_1200,open_1500,open_1800,tourism_relevance_evidence,evidence_completeness,asset_source
A01,Museo del Prado,museum_indoor,indoor,40.41382,-3.69162,Mo-Sa 10:00-20:00; Su 10:00-19:00,OSM relation/7726080 opening_hours tag (ODbL),True,True,True,Wikidata:Q160112; osm:tourism=museum,COMPLETE,"OpenStreetMap relation/7726080 (ODbL, fetched 2026-08-17 via Overpass API)"
A02,Museo Nacional Centro de Arte Reina Sofía,museum_indoor,indoor,40.408045,-3.694595,Mo 10:00-21:00; We-Sa 10:00-21:00; Su 10:00-19:00,OSM way/991444051 opening_hours tag (ODbL),True,True,True,Wikidata:Q460889; osm:tourism=museum; osm:amenity=arts_centre,COMPLETE,"OpenStreetMap way/991444051 (ODbL, fetched 2026-08-17 via Overpass API)"
A03,Museo Thyssen-Bornemisza,museum_indoor,indoor,40.416223,-3.6951,Tu-Su 10:00-19:00; Mo 12:00-16:00,OSM relation/1869336 opening_hours tag (ODbL),True,True,False,Wikidata:Q176251; osm:tourism=museum,COMPLETE,"OpenStreetMap relation/1869336 (ODbL, fetched 2026-08-17 via Overpass API)"
A04,CaixaForum Madrid,museum_indoor,indoor,40.411107,-3.693569,Mo-Su 10:00-20:00,OSM way/286816147 opening_hours tag (ODbL),True,True,True,Wikidata:Q1026041; osm:tourism=museum,COMPLETE,"OpenStreetMap way/286816147 (ODbL, fetched 2026-08-17 via Overpass API)"
A05,Museo Naval de Madrid,museum_indoor,indoor,40.417518,-3.692389,"Tu-Su 10:00-19:00; Mo,PH off; Jan 01,06,Dec 24,25,31: off",OSM way/292649859 opening_hours tag (ODbL),False,False,False,Wikidata:Q1815235; osm:tourism=museum,COMPLETE,"OpenStreetMap way/292649859 (ODbL, fetched 2026-08-17 via Overpass API)"
A06,Museo Nacional de Antropología,museum_indoor,indoor,40.407765,-3.689107,Tu-Sa 09:30-20:00; Su 09:30-15:00,OSM relation/4525000 opening_hours tag (ODbL),False,False,False,Wikidata:Q2917041; osm:tourism=museum,COMPLETE,"OpenStreetMap relation/4525000 (ODbL, fetched 2026-08-17 via Overpass API)"
A07,Museo Nacional de Artes Decorativas,museum_indoor,indoor,40.417786,-3.689727,"Tu-We, Fr-Sa 09:30-15:00; Su 10:00-15:00; Th 09:30-15:00, 17:00-20:00",OSM relation/8278843 opening_hours tag (ODbL),False,False,False,Wikidata:Q5361303; osm:tourism=museum,COMPLETE,"OpenStreetMap relation/8278843 (ODbL, fetched 2026-08-17 via Overpass API)"
A08,Real Fábrica de Tapices,museum_indoor,indoor,40.405803,-3.682407,"Mo-Fr 10:00-14:00; Sa, Su off; PH off; Aug off",OSM way/30759780 opening_hours tag (ODbL),False,False,False,Wikidata:Q570665; osm:tourism=museum,COMPLETE,"OpenStreetMap way/30759780 (ODbL, fetched 2026-08-17 via Overpass API)"
A09,Madrid-Puerta de Atocha-Almudena Grandes,transit_hub,indoor,40.404557,-3.688683,Mo-Su 05:00-01:00,Renfe/Adif — Madrid Puerta de Atocha public concourse operating hours (documented),True,True,True,Wikidata:Q5846989,COMPLETE,"OpenStreetMap way/733993037 (ODbL, fetched 2026-08-17 via Overpass API)"
A10,Estación del Arte,transit_hub,indoor,40.408839,-3.691475,Mo-Su 06:00-01:30,Metro de Madrid network operating hours (documented),True,True,True,Wikidata:Q2016175,COMPLETE,"OpenStreetMap node/5299314577 (ODbL, fetched 2026-08-17 via Overpass API)"
A11,Retiro,transit_hub,indoor,40.420477,-3.686421,Mo-Su 06:00-01:30,Metro de Madrid network operating hours (documented),True,True,True,category-only,COMPLETE,"OpenStreetMap node/25903356 (ODbL, fetched 2026-08-17 via Overpass API)"
A12,Banco de España,transit_hub,indoor,40.419055,-3.694926,Mo-Su 06:00-01:30,Metro de Madrid network operating hours (documented),True,True,True,Wikidata:Q2481227,COMPLETE,"OpenStreetMap node/5303271999 (ODbL, fetched 2026-08-17 via Overpass API)"
A13,Jardín Tropical,transit_hub_green,indoor,40.407014,-3.691364,Mo-Su 06:30-22:00,"Jardín Tropical, Atocha old-station glasshouse — station access hours (documented, approximate)",True,True,True,osm:leisure=garden,PARTIAL,"OpenStreetMap way/554720472 (ODbL, fetched 2026-08-17 via Overpass API)"
A14,Puerta de Alcalá,monument_outdoor,outdoor,40.419987,-3.688724,Mo-Su 00:00-24:00,"Open-access outdoor public monument, no ticketing (documented)",True,True,True,Wikidata:Q1140634; osm:tourism=attraction; osm:historic=yes,COMPLETE,"OpenStreetMap way/174805987 (ODbL, fetched 2026-08-17 via Overpass API)"
A15,Fuente de Cibeles,monument_outdoor,outdoor,40.419334,-3.693088,Mo-Su 00:00-24:00,"Open-access outdoor public monument, no ticketing (documented)",True,True,True,Wikidata:Q2736564; osm:tourism=attraction; osm:amenity=fountain,COMPLETE,"OpenStreetMap relation/6345116 (ODbL, fetched 2026-08-17 via Overpass API)"
A16,Fuente de Neptuno,monument_outdoor,outdoor,40.415255,-3.694151,Mo-Su 00:00-24:00,"Open-access outdoor public monument, no ticketing (documented)",True,True,True,Wikidata:Q1472798; osm:tourism=attraction; osm:historic=monument,COMPLETE,"OpenStreetMap way/553098274 (ODbL, fetched 2026-08-17 via Overpass API)"
A17,Estatua de Goya,monument_outdoor,outdoor,40.414983,-3.692537,Mo-Su 00:00-24:00,Open-access outdoor public statue on the Paseo del Prado sidewalk (documented),True,True,True,Wikidata:Q105622942; osm:historic=monument,COMPLETE,"OpenStreetMap node/2045974223 (ODbL, fetched 2026-08-17 via Overpass API)"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,monument_outdoor,outdoor,40.418851,-3.691903,Mo-Su 00:00-24:00,Open-access outdoor plaza/landmark; note: indoor CentroCentro mirador is closed Mondays (documented),True,True,True,osm:tourism=attraction; osm:amenity=townhall,PARTIAL,"OpenStreetMap node/8928518873 (ODbL, fetched 2026-08-17 via Overpass API)"
A19,Real Observatorio de Madrid,monument_outdoor,outdoor,40.408436,-3.687266,Fr-Su 11:00-17:00,"Real Observatorio de Madrid (IGN) — guided visits by booking, Fri–Sun only; closed Mondays (documented)",False,False,False,Wikidata:Q4274351; osm:leisure=park,PARTIAL,"OpenStreetMap way/29471311 (ODbL, fetched 2026-08-17 via Overpass API)"
A20,Parque del Retiro,park_general,outdoor,40.414864,-3.682713,Oct-Mar: 06:00-22:00; Apr-Sep: 06:00-24:00,OSM relation/13616929 opening_hours tag (ODbL),True,True,True,Wikidata:Q1131807; osm:leisure=park,COMPLETE,"OpenStreetMap relation/13616929 (ODbL, fetched 2026-08-17 via Overpass API)"
A21,Real Jardín Botánico de Madrid,garden_outdoor,outdoor,40.411169,-3.690753,"Jan,Feb,Nov,Dec: 10:00-18:00; Apr,Sep: 10:00-20:00; Mar,Oct: 10:00-19:00; May-Aug: 10:00-21:00",OSM way/15244804 opening_hours tag (ODbL),True,True,True,Wikidata:Q1794858; osm:tourism=attraction; osm:leisure=garden,COMPLETE,"OpenStreetMap way/15244804 (ODbL, fetched 2026-08-17 via Overpass API)"
A22,Palacio de Cristal,outdoor_pavilion_shaded,outdoor,40.413592,-3.682057,Apr-Sep 10:00-22:00; Oct-Mar 10:00-18:00,"Museo Reina Sofía — Palacio de Cristal (Retiro), documented summer opening",True,True,True,Wikidata:Q2420025; osm:tourism=attraction; osm:historic=building; osm:amenity=arts_centre,PARTIAL,"OpenStreetMap way/23596451 (ODbL, fetched 2026-08-17 via Overpass API)"
A23,Jardines de Cecilio Rodríguez,garden_outdoor,outdoor,40.413348,-3.677973,Apr-Sep 10:00-21:00; Oct-Mar 10:00-18:00,"Ayuntamiento de Madrid — Retiro enclosed historic gardens, documented summer opening",True,True,True,Wikidata:Q108378742; osm:tourism=attraction; osm:leisure=garden,PARTIAL,"OpenStreetMap relation/10005473 (ODbL, fetched 2026-08-17 via Overpass API)"
A24,La Rosaleda,garden_outdoor,outdoor,40.410788,-3.680318,"Apr-Sep Mo-Su,PH 10:00-20:00; Oct-Mar Mo-Su,PH 10:00-18:00",OSM way/29471363 opening_hours tag (ODbL),True,True,True,Wikidata:Q96377009; osm:leisure=garden,COMPLETE,"OpenStreetMap way/29471363 (ODbL, fetched 2026-08-17 via Overpass API)"
A25,Jardín del Parterre,garden_outdoor,outdoor,40.415295,-3.687406,Apr-Sep 10:00-21:00; Oct-Mar 10:00-18:00,"Ayuntamiento de Madrid — Retiro enclosed historic gardens, documented summer opening",True,True,True,Wikidata:Q48782205; osm:tourism=attraction; osm:leisure=garden,PARTIAL,"OpenStreetMap relation/20827650 (ODbL, fetched 2026-08-17 via Overpass API)"
A26,Monumento a Alfonso XII,outdoor_attraction_mixed_shade,outdoor,40.417314,-3.683067,Apr-Sep 06:00-24:00; Oct-Mar 06:00-22:00,Parque del Retiro open-access lakeside monument — park hours (documented),True,True,True,Wikidata:Q3862645; osm:tourism=viewpoint; osm:historic=monument,COMPLETE,"OpenStreetMap way/722360391 (ODbL, fetched 2026-08-17 via Overpass API)"
A27,Jardines del Arquitecto Herrero Palacios,garden_outdoor,outdoor,40.415613,-3.678634,Apr-Sep 10:00-21:00; Oct-Mar 10:00-18:00,"Ayuntamiento de Madrid — Retiro enclosed historic gardens, documented summer opening",True,True,True,Wikidata:Q114662887; osm:leisure=garden,PARTIAL,"OpenStreetMap relation/10005474 (ODbL, fetched 2026-08-17 via Overpass API)"
