source,owner,variable,spatial_resolution,temporal_resolution,temporal_coverage,access_method,format,licence,update_frequency,cost,reproducibility,key_limitations,suitability_verdict
"AEMET OpenData API",AEMET (Spanish State Meteorological Agency),"Air temperature, humidity, wind, radiation at stations","Point (station); sparse in-city",Hourly to daily,Multi-decadal to present,"Free REST API (API key); R packages climaemet/meteospain",JSON/CSV,"Free reuse with attribution (Spanish open-data terms)",Continuous,Free,High,"Few stations inside city core; not spatially continuous; Retiro/Barajas dominate",USE - primary ground reference for validation and for driving/anchoring the exposure model
"ERA5-Land (Copernicus CDS)",ECMWF / Copernicus C3S,"2m air temp, radiation, humidity, wind (reanalysis)","~9 km grid",Hourly,1950-present,"Free via Climate Data Store API / cdsapi",NetCDF/GRIB,"Copernicus licence (free, open)",~Monthly lag,Free,High,"9 km too coarse for pedestrian/microscale; good for regional context and gap-filling only","USE WITH CAUTION - context and boundary conditions, NOT pedestrian-scale exposure"
"Landsat 8/9 Collection 2 Level-2 Surface Temperature",USGS/NASA,"Land Surface Temperature (LST)","30 m (thermal resampled from 100 m)","~8-16 day revisit (per satellite; ~8 day combined)","2013-present (L8), 2021-present (L9)","Free via USGS EarthExplorer / Google Earth Engine / Planetary Computer",GeoTIFF,"Free/public domain",Per overpass,Free,High,"LST != air temp != comfort; ~10:30 local overpass misses peak-heat hours; cloud gaps; surface not human load",USE ONLY as surface-hazard/relative-exposure proxy with explicit error; NEVER as comfort
"Sentinel-2 MSI",ESA/Copernicus,"Optical bands (NDVI/vegetation, land cover)","10-20 m","~5 day revisit",2015-present,"Free via Copernicus Browser / GEE / Planetary Computer",GeoTIFF/JP2,"Copernicus licence (free, open)",Per overpass,Free,High,"No thermal band - cannot derive LST directly; use for greenness/shade proxy inputs",USE - vegetation/greenness inputs and land-cover masking
"Copernicus Urban Atlas - Street Tree Layer 2018",Copernicus Land Monitoring Service,"Street tree canopy (vector)","Vector, MMU-based (street trees)","Static (2018)","2018 (also 2012)","Free download (CLMS portal)","Vector (GPKG/SHP)","Copernicus licence (free, open)","~6-yearly",Free,High,"2018 vintage; MMU excludes small isolated trees; not per-tree height",USE - canopy/shade proxy for Madrid; combine with local arbolado for detail
"Copernicus HRL Tree Cover Density 2018",Copernicus Land Monitoring Service,"Tree cover density (%)","10 m / 100 m raster","Static/annual","2018 onward","Free download (CLMS portal)",GeoTIFF,"Copernicus licence (free, open)","Yearly (recent)",Free,High,"Density not geometry; no height; canopy != actual cast shadow",USE - continuous canopy proxy input to shade estimation
"Madrid Open Data - Arbolado (street/park trees geolocated)",Ayuntamiento de Madrid,"Tree locations, species, some size attributes","Point (individual trees)","Static, periodically updated","Current inventory","Free portal download (datos.madrid.es)","CSV/SHP/KML","Free reuse (Madrid open-data terms)","Irregular",Free,Medium-High,"Coverage completeness varies (parks vs streets); height/crown often missing; some datasets flagged non-viable",USE - best local per-tree source; needs cleaning and height enrichment for shade modelling
"Madrid Open Data - Fuentes de agua / bebederos",Ayuntamiento de Madrid,"Drinking-water fountains / points","Point","Static, updated","Current","Free portal download","CSV/SHP","Free reuse (Madrid terms)","Irregular",Free,Medium,"Completeness and operational-status uncertainty; may not reflect real availability",USE - cooling/hydration resource layer with a data-quality caveat
"Madrid Open Data - Museos y espacios (indoor attractions)",Ayuntamiento de Madrid,"Museums/indoor cultural sites, some opening hours","Point","Static, updated","Current","Free portal download","CSV/JSON/SHP","Free reuse (Madrid terms)","Irregular",Free,Medium-High,"Opening hours not always machine-clean; seasonal changes; A/C status not stated",USE - core indoor cool-alternative POI layer; validate hours manually
"Madrid Open Data - Zonas verdes / parques",Ayuntamiento de Madrid,"Green areas / parks polygons","Polygon","Static, updated","Current","Free portal download","SHP/GPKG","Free reuse (Madrid terms)","Irregular",Free,High,"Polygon extent not microclimate; interior shade heterogeneous",USE - green/cooling area layer
